Designator,Footprint,Quantity,Value,Manufacturer,Partnumber,LCSC Part #
"C1, C2, C3, C13",Samsung_Electro_Mechanics_CL05B104KB54PNC:C0402,4,100nF ±10% 50V X7R,Samsung Electro-Mechanics,CL05B104KB54PNC,C307331
"C4, C14",YAGEO_CC0402JRX7R9BB472:C0402,2,4.7nF ±5% 50V X7R,YAGEO,CC0402JRX7R9BB472,C281757
"C5, C15",CCTC_TCC0402C0G100J500AT:C0402,2,10pF ±5% 50V C0G,CCTC,TCC0402C0G100J500AT,C466222
"C6, C7, C8, C16, C17, C18",Murata_Electronics_GRM21BR61H106KE43L:C0805,6,10µF ±10% 50V X5R,Murata Electronics,GRM21BR61H106KE43L,C440198
"C9, C10, C11, C12, C19, C20, C21, C22, C24, C25, C26, C27, C28, C29, C30, C31",Samsung_Electro_Mechanics_CL21A226MAQNNNE:C0805,16,22µF ±20% 25V X5R,Samsung Electro-Mechanics,CL21A226MAQNNNE,C45783
C23,Samsung_Electro_Mechanics_CL10A105KB8NNNC:C0603,1,1µF ±10% 50V X5R,Samsung Electro-Mechanics,CL10A105KB8NNNC,C15849
"D1, D2",STMicroelectronics_STPS340U:SMB_L4.6-W3.6-LS5.3-RD,2,,STMicroelectronics,STPS340U,C50706
"D3, D4",TWGMC_SS54:SMC_L6.9-W5.9-LS7.9-RD,2,,TWGMC,SS54,C5204950
DC1,XKB_Connectivity_DC_005_5A_2_0:DC-IN-TH_DC-005-5A-2.0,1,,XKB Connectivity,DC-005-5A-2.0,C381116
"F1, F2, F3, F4, F5, F6, F7, F8",BHFUSE_BSMD1812_150_33V:F1812,8,,BHFUSE,BSMD1812-150-33V,C883154
"L1, L2",Sunlord_SWPA8040S5R6NT:IND-SMD_L8.0-W8.0_SWPA8040S,2,4.7µH ±30% 4.1A 6.5A-sat,Sunlord,SWPA8040S4R7NT,C36417
LED1,Hubei_KENTO_Elec_Blue_light_0603:LED0603-RD,1,,Hubei KENTO Elec,Blue light 0603,C2288
"LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9",Hubei_KENTO_Elec_KT_0603G:LED0603-RD,8,,Hubei KENTO Elec,KT-0603G,C12624
LED10,Hubei_KENTO_Elec_KT_0603R:LED0603-RD,1,,Hubei KENTO Elec,KT-0603R,C2286
"R1, R3",UNI_ROYAL_0402WGF1502TCE:R0402,2,15kΩ ±1% 62.5mW 50V,UNI-ROYAL(Uniroyal Elec),0402WGF1502TCE,C25756
"R2, R4",FOJAN_FRC0402F62R0TS:R0402,2,62Ω ±1% 62.5mW 50V,FOJAN,FRC0402F62R0TS,C2909376
"R5, R9",YAGEO_RC0402FR_0723K7L:R0402,2,23.7kΩ ±1% 62.5mW 50V,YAGEO,RC0402FR-0723K7L,C327362
"R6, R10",UNI_ROYAL_0402WGF1782TCE:R0402,2,17.8kΩ ±1% 62.5mW 50V,UNI-ROYAL(Uniroyal Elec),0402WGF1782TCE,C129766
"R7, R11",UNI_ROYAL_0402WGF3401TCE:R0402,2,3.4kΩ ±1% 62.5mW 50V,RALEC,RTT023401FTH,C102987
"R8, R12",UNI_ROYAL_0402WGF1623TCE:R0402,2,162kΩ ±1% 62.5mW 50V,UNI-ROYAL(Uniroyal Elec),0402WGF1623TCE,C54068
"R13, R14, R17",UNI_ROYAL_0402WGF2402TCE:R0402,3,24kΩ ±1% 62.5mW 50V,UNI-ROYAL(Uniroyal Elec),0402WGF2402TCE,C25769
"R15, R16",UNI_ROYAL_0402WGF1003TCE:R0402,2,100kΩ ±1% 62.5mW 50V,UNI-ROYAL(Uniroyal Elec),0402WGF1003TCE,C25741
R18,UNI_ROYAL_0402WGF4701TCE:R0402,1,4.7kΩ ±1% 62.5mW 50V,UNI-ROYAL(Uniroyal Elec),0402WGF4701TCE,C25900
"R19, R22, R26, R30, R34, R38, R42, R46, R50",UNI_ROYAL_0402WGF1001TCE:R0402,9,1kΩ ±1% 62.5mW 50V,UNI-ROYAL(Uniroyal Elec),0402WGF1001TCE,C11702
"R20, R21, R24, R25, R28, R29, R32, R33, R36, R37, R40, R41, R44, R45, R48, R49",UNI_ROYAL_0402WGF2202TCE:R0402,16,22kΩ ±1% 62.5mW 50V,UNI-ROYAL(Uniroyal Elec),0402WGF2202TCE,C25768
"R23, R27, R31, R35, R39, R43, R47, R51",UNI_ROYAL_1206W4F100LT5E:R1206,8,100mΩ ±1% 250mW 200V,UNI-ROYAL(Uniroyal Elec),1206W4F100LT5E,C25334
R52,UNI_ROYAL_0402WGF1002TCE:R0402,1,10kΩ ±1% 62.5mW 50V,YAGEO,RC0402FR-0710KL,C60490
"U1, U2",Texas_Instruments_LM339DR:SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,2,,Texas Instruments,LM339DR,C7948
"U3, U4",Texas_Instruments_TPS54560DDAR:SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL-EP2.0,2,,Texas Instruments,TPS54560DDAR,C31966
U5,WCH_CH224K:ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP,1,,WCH,CH224K,C970725
USB1,SHOU_HAN_TYPE_C_16PIN_2MD_073:USB-C-SMD_TYPE-C-16PIN-2MD-073,1,,SHOU HAN,TYPE-C 16PIN 2MD(073),C2765186
"USB2, USB3, USB4, USB5, USB6, USB7, USB8, USB9",Jing_Extension_of_the_Electronic_Co_918_118A2021Y40006:USB-C-SMD_918-118A2021Y40006,8,,Jing Extension of the Electronic Co.,918-118A2021Y40006,C399938
