Designator,Mid X,Mid Y,Layer,Rotation
C1,147.5mm,-77.0mm,Top,90.000000
C2,237.5mm,-77.0mm,Top,90.000000
C3,85.5mm,-62.0mm,Top,90.000000
C4,98.5mm,-57.0mm,Top,90.000000
C5,100.5mm,-57.0mm,Top,90.000000
C6,82.5mm,-63.0mm,Top,90.000000
C7,82.5mm,-58.5mm,Top,90.000000
C8,82.5mm,-54.0mm,Top,90.000000
C9,101.5mm,-63.0mm,Top,90.000000
C10,101.5mm,-67.5mm,Top,90.000000
C11,104.5mm,-63.0mm,Top,90.000000
C12,104.5mm,-67.5mm,Top,90.000000
C13,85.5mm,-83.0mm,Top,90.000000
C14,98.5mm,-78.0mm,Top,90.000000
C15,100.5mm,-78.0mm,Top,90.000000
C16,82.5mm,-84.0mm,Top,90.000000
C17,82.5mm,-79.5mm,Top,90.000000
C18,82.5mm,-75.0mm,Top,90.000000
C19,101.5mm,-83.5mm,Top,90.000000
C20,101.5mm,-88.0mm,Top,90.000000
C21,104.5mm,-83.5mm,Top,90.000000
C22,104.5mm,-88.0mm,Top,90.000000
C23,69.5mm,-56.0mm,Top,0.000000
C24,128.75mm,-66.0mm,Top,90.000000
C25,151.25mm,-66.0mm,Top,90.000000
C26,173.75mm,-66.0mm,Top,90.000000
C27,196.25mm,-66.0mm,Top,90.000000
C28,218.75mm,-66.0mm,Top,90.000000
C29,241.25mm,-66.0mm,Top,90.000000
C30,263.75mm,-66.0mm,Top,90.000000
C31,286.25mm,-66.0mm,Top,90.000000
D1,94.0mm,-57.0mm,Top,90.000000
D2,94.0mm,-78.0mm,Top,90.000000
D3,78.0mm,-74.0mm,Top,90.000000
D4,71.5mm,-74.0mm,Top,90.000000
DC1,61.0mm,-84.0mm,Top,0.000000
F1,117.25mm,-55.0mm,Top,0.000000
F2,139.75mm,-55.0mm,Top,0.000000
F3,162.25mm,-55.0mm,Top,0.000000
F4,184.75mm,-55.0mm,Top,0.000000
F5,207.25mm,-55.0mm,Top,0.000000
F6,229.75mm,-55.0mm,Top,0.000000
F7,252.25mm,-55.0mm,Top,0.000000
F8,274.75mm,-55.0mm,Top,0.000000
L1,93.0mm,-67.0mm,Top,180.000000
L2,93.0mm,-87.5mm,Top,180.000000
LED1,64.0mm,-70.5mm,Top,0.000000
LED2,118.75mm,-84.0mm,Top,0.000000
LED3,141.25mm,-84.0mm,Top,0.000000
LED4,163.75mm,-84.0mm,Top,0.000000
LED5,186.25mm,-84.0mm,Top,0.000000
LED6,208.75mm,-84.0mm,Top,0.000000
LED7,231.25mm,-84.0mm,Top,0.000000
LED8,253.75mm,-84.0mm,Top,0.000000
LED9,276.25mm,-84.0mm,Top,0.000000
LED10,72.0mm,-88.0mm,Top,0.000000
R1,162.5mm,-78.0mm,Top,0.000000
R2,162.5mm,-75.0mm,Top,0.000000
R3,252.5mm,-78.0mm,Top,0.000000
R4,252.5mm,-75.0mm,Top,0.000000
R5,98.5mm,-53.5mm,Top,90.000000
R6,103.0mm,-53.5mm,Top,90.000000
R7,103.0mm,-57.0mm,Top,90.000000
R8,100.5mm,-53.5mm,Top,90.000000
R9,98.5mm,-74.5mm,Top,90.000000
R10,103.0mm,-74.5mm,Top,90.000000
R11,103.0mm,-78.0mm,Top,90.000000
R12,100.5mm,-74.5mm,Top,90.000000
R13,107.5mm,-57.0mm,Top,90.000000
R14,107.5mm,-78.0mm,Top,90.000000
R15,107.5mm,-53.5mm,Top,90.000000
R16,107.5mm,-74.5mm,Top,90.000000
R17,64.0mm,-67.5mm,Top,0.000000
R18,67.0mm,-70.5mm,Top,0.000000
R19,64.0mm,-56.0mm,Top,0.000000
R20,113.75mm,-63.0mm,Top,90.000000
R21,113.75mm,-69.0mm,Top,90.000000
R22,124.25mm,-84.0mm,Top,0.000000
R23,125.75mm,-55.0mm,Top,0.000000
R24,136.25mm,-63.0mm,Top,90.000000
R25,136.25mm,-69.0mm,Top,90.000000
R26,146.75mm,-84.0mm,Top,0.000000
R27,148.25mm,-55.0mm,Top,0.000000
R28,158.75mm,-63.0mm,Top,90.000000
R29,158.75mm,-69.0mm,Top,90.000000
R30,169.25mm,-84.0mm,Top,0.000000
R31,170.75mm,-55.0mm,Top,0.000000
R32,181.25mm,-63.0mm,Top,90.000000
R33,181.25mm,-69.0mm,Top,90.000000
R34,191.75mm,-84.0mm,Top,0.000000
R35,193.25mm,-55.0mm,Top,0.000000
R36,203.75mm,-63.0mm,Top,90.000000
R37,203.75mm,-69.0mm,Top,90.000000
R38,214.25mm,-84.0mm,Top,0.000000
R39,215.75mm,-55.0mm,Top,0.000000
R40,226.25mm,-63.0mm,Top,90.000000
R41,226.25mm,-69.0mm,Top,90.000000
R42,236.75mm,-84.0mm,Top,0.000000
R43,238.25mm,-55.0mm,Top,0.000000
R44,248.75mm,-63.0mm,Top,90.000000
R45,248.75mm,-69.0mm,Top,90.000000
R46,259.25mm,-84.0mm,Top,0.000000
R47,260.75mm,-55.0mm,Top,0.000000
R48,271.25mm,-63.0mm,Top,90.000000
R49,271.25mm,-69.0mm,Top,90.000000
R50,281.75mm,-84.0mm,Top,0.000000
R51,283.25mm,-55.0mm,Top,0.000000
R52,76.5mm,-88.0mm,Top,0.000000
U1,155.0mm,-77.0mm,Top,0.000000
U2,245.0mm,-77.0mm,Top,0.000000
U3,88.0mm,-57.0mm,Top,0.000000
U4,88.0mm,-78.0mm,Top,0.000000
U5,64.0mm,-62.0mm,Top,0.000000
USB1,55.0mm,-62.0mm,Top,90.000000
USB2,121.25mm,-66.0mm,Top,90.000000
USB3,143.75mm,-66.0mm,Top,90.000000
USB4,166.25mm,-66.0mm,Top,90.000000
USB5,188.75mm,-66.0mm,Top,90.000000
USB6,211.25mm,-66.0mm,Top,90.000000
USB7,233.75mm,-66.0mm,Top,90.000000
USB8,256.25mm,-66.0mm,Top,90.000000
USB9,278.75mm,-66.0mm,Top,90.000000
